Country;Growth rate per annum 2016.1;Growth rate per annum 2005-15;Share 2016.2;Year;Coal Consumption (Mtoe)
Italy;-0.118781259954;-0.0287087514672;0.00291253323667;2010;13.66
Norway;-0.00086963598565;0.0126859125;0.000219928144361;2010;0.761918410242
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;2010;6.897
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;2010;280.175101281
US;-0.0877264090609;-0.0375393468003;0.0960426032543;2011;495.367824084
Belgium;-0.066869925922;-0.0473792954884;0.000798066786956;2011;3.5121
Hungary;-0.0358968587907;-0.0245951449789;0.000612116360571;2011;2.7085
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;2011;12.791
Turkey;0.103344489277;0.0460004512544;0.0102988220751;2011;33.8788
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;2011;31.4489803625
USSR;;;;2011;0.0
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;2011;0.402425562343
Algeria;0.0;-0.132124147807;3.86909377994e-05;2011;0.275
Egypt;0.0429787084275;-0.0700429893744;0.000115330782137;2011;0.440788
Other Africa;-0.102652516039;0.0377747210266;0.00275093619712;2011;7.22258959374
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;2011;48.1123130734
Japan;-0.002306025827;0.0050145403181;0.0321379899979;2011;109.610810894
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;2011;14.772
Philippines;0.159749946241;0.0972792308786;0.00361778982915;2011;7.72
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;2011;174.692822236
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;2012;21.049942677
Brazil;-0.0679750843541;0.0312695931968;0.00442626001313;2012;15.2877394173
Ecuador;0.0;0;0.0;2012;0.0
France;-0.010844501586;-0.0460232119106;0.0022281666752;2012;11.06623881
Germany;-0.0432336300245;-0.00352138073054;0.0201726295054;2012;80.487890513
Portugal;-0.119111420987;-0.00231745571362;0.000771436549257;2012;2.910695
Bangladesh;0.16973782862;0.0372093529425;0.000217760622036;2012;0.902155
Peru;0.0;-0.0127700470694;0.00021772585751;2013;0.880362090379
France;-0.010844501586;-0.0460232119106;0.0022281666752;2013;11.564422827
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;2014;49.4452804051
Non-OECD;-0.000356874865061;0.0366586229346;0.755272090435;2014;2848.53869392
Argentina;-0.224635998086;0.0189168726476;0.000283281347947;2015;1.35977035922
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;2015;0.201
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;2015;16.58
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;2015;6.74730996054
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;2015;0.474967872221
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;2015;44.0873206782
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2008;37.047231
of which: OECD;-0.0635863563909;-0.0185102837873;0.244727924466;2008;1175.23354869
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2009;0.550903
Vietnam;-0.0441651203042;0.0945160396416;0.00571485329419;2009;10.68816
Other Asia Pacific;0.212825766898;-0.022657957517;0.00551216769964;2009;20.9369133468
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;2010;24.7655727525
Argentina;-0.224635998086;0.0189168726476;0.000283281347947;2010;1.2693274
Ecuador;0.0;0;0.0;2010;0.0
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;2010;0.199292
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;2010;2.21477883522
Austria;-0.0229010467692;-0.0208387149297;0.00085092196241;2010;3.38441454727
Netherlands;-0.0697936299088;0.0312171396339;0.00275197695009;2010;7.54753033343
Switzerland;0.0;-0.0109550435376;3.47185668943e-05;2010;0.148323301806
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;2010;30.9278050933
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;2010;0.321302785796
China Hong Kong SAR;-0.00280691710327;-0.00248318295241;0.0017946921289;2010;6.22726187064
New Zealand;-0.154070465658;-0.0453779017436;0.000326689070789;2010;1.39707031032
Thailand;0.0067467987884;0.0425209701636;0.00475338706747;2010;15.5157558057
Italy;-0.118781259954;-0.0287087514672;0.00291253323667;2012;15.7233
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2014;1.462432
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;2014;15.357
Pakistan;0.151433659622;0.0220729595435;0.0014435298508;2014;4.72899607456
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;2015;19.6455627518
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;2015;23.0154180465
Iran;0.0425008436721;0.00500493953075;0.000458321737824;2015;1.636241
Kuwait;0.0;0;0.0;2015;0.0
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2015;1.26404600693
Algeria;0.0;-0.132124147807;3.86909377994e-05;2015;0.144
Portugal;-0.119111420987;-0.00231745571362;0.000771436549257;1980;0.35
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;1980;12.439
Turkey;0.103344489277;0.0460004512544;0.0102988220751;1980;7.034
Iran;0.0425008436721;0.00500493953075;0.000458321737824;1980;1.196173
Qatar;0.0;0;0.0;1980;0.0
Algeria;0.0;-0.132124147807;3.86909377994e-05;1980;0.064
China;-0.0163160516748;0.0374734655832;0.505774915218;2015;1913.61668511
Japan;-0.002306025827;0.0050145403181;0.0321379899979;2015;119.887697998
Philippines;0.159749946241;0.0972792308786;0.00361778982915;2015;11.61
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2015;37.833401
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;2016;16.9003
Denmark;0.20831210624;-0.0734968368781;0.000561123655643;2016;2.09411271088
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;2016;48.8072743671
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;2016;5.40393616575
Slovakia;-0.0496902673913;-0.0252663961555;0.000836301769596;2016;3.121077
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;2016;5.71767918131
Kuwait;0.0;0;0.0;2016;0.0
Algeria;0.0;-0.132124147807;3.86909377994e-05;2016;0.144394520548
Egypt;0.0429787084275;-0.0700429893744;0.000115330782137;2016;0.4304143
India;0.0359940327055;0.0649945458839;0.110383033752;2016;411.949308935
Japan;-0.002306025827;0.0050145403181;0.0321379899979;2016;119.938935881
Pakistan;0.151433659622;0.0220729595435;0.0014435298508;2016;5.3872510656
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2016;38.567451
Other Europe & Eurasia;-0.00143786643097;0.0107627201173;0.00616857595742;1979;15.2640567348
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;1979;0.0
Egypt;0.0429787084275;-0.0700429893744;0.000115330782137;1979;0.683761
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;1979;27.1316996274
China;-0.0163160516748;0.0374734655832;0.505774915218;1979;292.58
Japan;-0.002306025827;0.0050145403181;0.0321379899979;1979;50.11301
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;1979;0.034
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;1979;0.0
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;1979;76.45
Iran;0.0425008436721;0.00500493953075;0.000458321737824;1979;1.135841
United Arab Emirates;0.0;0.241399267969;0.000339632824762;1979;0.0
Algeria;0.0;-0.132124147807;3.86909377994e-05;1979;0.072
Bangladesh;0.16973782862;0.0372093529425;0.000217760622036;1979;0.092965
Indonesia;0.222283462094;0.0769875959617;0.016800256446;1979;0.2
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1979;475.485866866
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;1980;22.1746680042
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;1980;0.0734959872833
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1980;38.451
Sweden;0.0600906335947;-0.021451470504;0.000602819782216;1980;1.708424
Saudi Arabia;0.0;0.135340046564;2.67447830993e-05;1980;0.0
Japan;-0.002306025827;0.0050145403181;0.0321379899979;1980;58.21672
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;1980;0.0
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;1981;22.6412056941
Mexico;-0.229082575174;0.010178880839;0.00262972107157;1981;2.05493455622
Chile;0.122766024151;0.102452435823;0.00220625312068;1981;1.088
Ecuador;0.0;0;0.0;1981;0.0
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1981;38.295
Germany;-0.0432336300245;-0.00352138073054;0.0201726295054;1981;143.707
Hungary;-0.0358968587907;-0.0245951449789;0.000612116360571;1981;8.117
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;1981;12.996
Kuwait;0.0;0;0.0;1983;0.0
India;0.0359940327055;0.0649945458839;0.110383033752;1983;66.9860748861
Singapore;-0.065387810146;0.473898039981;0.000102054436866;1983;0.003262
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;1983;0.0
US;-0.0877264090609;-0.0375393468003;0.0960426032543;1984;430.172438353
Argentina;-0.224635998086;0.0189168726476;0.000283281347947;1984;0.516481140351
Trinidad & Tobago;0.0;0;0.0;1984;0.0
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1984;39.098
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;1984;5.213
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;1984;97.586
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;1984;14.322
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;1984;47.276
USSR;;;;1984;338.178177903
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;1984;30.6021305054
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;1984;0.239
Other Asia Pacific;0.212825766898;-0.022657957517;0.00551216769964;1984;32.6694870948
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1984;476.091517717
Mexico;-0.229082575174;0.010178880839;0.00262972107157;1985;3.04571510461
Colombia;-0.139721787745;0.147885505613;0.00122847594321;1985;3.0537169
Trinidad & Tobago;0.0;0;0.0;1985;0.0
Belgium;-0.066869925922;-0.0473792954884;0.000798066786956;1985;10.73316328
Bulgaria;-0.134507934609;-0.00407387860215;0.00153927190695;1985;10.078
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;1986;24.8394716729
Trinidad & Tobago;0.0;0;0.0;1986;0.0
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;1986;0.199058
France;-0.010844501586;-0.0460232119106;0.0022281666752;1986;20.16
USSR;;;;1986;0.0
Kuwait;0.0;0;0.0;1986;0.0
Other Africa;-0.102652516039;0.0377747210266;0.00275093619712;1986;4.36159030666
China Hong Kong SAR;-0.00280691710327;-0.00248318295241;0.0017946921289;1986;3.931
Japan;-0.002306025827;0.0050145403181;0.0321379899979;1986;68.19223
Non-OECD;-0.000356874865061;0.0366586229346;0.755272090435;1986;1024.68019394
Trinidad & Tobago;0.0;0;0.0;1987;0.0
Norway;-0.00086963598565;0.0126859125;0.000219928144361;1987;0.963387
Sweden;0.0600906335947;-0.021451470504;0.000602819782216;1987;3.063075
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;1987;69.569
Kuwait;0.0;0;0.0;1987;0.0
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;1987;0.000674
South Africa;0.0182933628412;0.00412582185975;0.0228048674762;1987;64.3656981757
Other Africa;-0.102652516039;0.0377747210266;0.00275093619712;1987;5.00955527538
China;-0.0163160516748;0.0374734655832;0.505774915218;1987;461.92965
Indonesia;0.222283462094;0.0769875959617;0.016800256446;1987;2.267
South Korea;-0.0481076726431;0.0455108814411;0.0218606740236;1987;23.639
Vietnam;-0.0441651203042;0.0945160396416;0.00571485329419;1987;3.445
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1987;503.2614168
US;-0.0877264090609;-0.0375393468003;0.0960426032543;1988;474.919073658
Peru;0.0;-0.0127700470694;0.00021772585751;1988;0.180877997516
Trinidad & Tobago;0.0;0;0.0;1988;0.0
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;1988;0.396003972689
